Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,source,Outlet_Years,Item_Visible_Avg,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_1,Outlet_Size_2,New_Item_Type_1,New_Item_Type_2,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDA15,9.3,0.016047301,Dairy,249.8092,OUT049,1999,3735.138,train,10,0.9310779543761083,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
DRC01,5.92,0.019278216,Soft Drinks,48.2692,OUT018,2009,443.4228,train,1,0.9334195208758378,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDN15,17.5,0.016760075,Meat,141.618,OUT049,1999,2097.27,train,10,0.9600687539048446,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
FDX07,19.2,0.0,Fruits and Vegetables,182.095,OUT010,1998,732.38,train,11,0.0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NCD19,8.93,0.0,Household,53.8614,OUT013,1987,994.7052,train,22,0.0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDP36,10.395,0.0,Baking Goods,51.4008,OUT018,2009,556.6088,train,1,0.0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
FDO10,13.65,0.012741089,Snack Foods,57.6588,OUT013,1987,343.5528,train,22,1.497197477651743,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP10,12.792854228644991,0.127469857,Snack Foods,107.7622,OUT027,1985,4022.7636,train,24,0.8704928816397633,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
FDH17,16.2,0.016687114,Frozen Foods,96.9726,OUT045,2002,1076.5986,train,7,0.9241603619293527,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDU28,19.2,0.09444959,Frozen Foods,187.8214,OUT017,2007,4710.535,train,2,0.9639830398302507,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDY07,11.8,0.0,Fruits and Vegetables,45.5402,OUT049,1999,1516.0266,train,10,0.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
FDA03,18.5,0.045463773,Dairy,144.1102,OUT046,1997,2187.153,train,12,1.0366952071584155,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
FDX32,15.1,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,1589.2646,train,10,1.026359813124039,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
FDS46,17.6,0.047257328,Snack Foods,119.6782,OUT046,1997,2145.2076,train,12,0.922289906298101,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
FDF32,16.35,0.0680243,Fruits and Vegetables,196.4426,OUT013,1987,1977.426,train,22,1.1713313653743491,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP49,9.0,0.069088961,Breakfast,56.3614,OUT046,1997,1547.3192,train,12,1.0280725124413594,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
NCB42,11.8,0.008596051,Health and Hygiene,115.3492,OUT018,2009,1621.8888,train,1,1.0031395479206202,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDP49,9.0,0.069196376,Breakfast,54.3614,OUT049,1999,718.3982,train,10,1.0296708923753677,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
DRI11,12.792854228644991,0.034237682,Hard Drinks,113.2834,OUT027,1985,2303.668,train,24,0.8704928693111866,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.10249212,Dairy,230.5352,OUT035,2004,2748.4224,train,5,0.922115518306462,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
FDN22,18.85,0.138190277,Snack Foods,250.8724,OUT013,1987,3775.086,train,22,1.1399044941112717,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
FDW12,12.792854228644991,0.035399923,Baking Goods,144.5444,OUT027,1985,4064.0432,train,24,0.9543090781180374,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
NCB30,14.6,0.025698134,Household,196.5084,OUT035,2004,1587.2672,train,5,0.8628943947372767,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
FDC37,12.792854228644991,0.057556998,Baking Goods,107.6938,OUT019,1985,214.3876,train,24,1.5315371875133978,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
FDR28,13.85,0.025896485,Frozen Foods,165.021,OUT046,1997,4078.025,train,12,0.9296326154440036,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
NCD06,13.0,0.099887103,Household,45.906,OUT017,2007,838.908,train,2,0.9275067672165533,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
FDV10,7.645,0.066693437,Snack Foods,42.3112,OUT035,2004,1065.28,train,5,1.0602351029427202,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
DRJ59,11.65,0.019356132,Hard Drinks,39.1164,OUT013,1987,308.9312,train,22,1.0352775780298962,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDE51,5.925,0.161466534,Dairy,45.5086,OUT010,1998,178.4344,train,11,1.4445814400022103,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FDC14,12.792854228644991,0.072221801,Canned,43.6454,OUT019,1985,125.8362,train,24,1.6790026812832133,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
FDV38,19.25,0.170348551,Dairy,55.7956,OUT010,1998,163.7868,train,11,1.46411666753599,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NCS17,18.6,0.080829372,Health and Hygiene,96.4436,OUT018,2009,2741.7644,train,1,1.0031395405819457,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDP33,18.7,0.0,Snack Foods,256.6672,OUT018,2009,3068.0064,train,1,0.0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
FDO23,17.85,0.0,Breads,93.1436,OUT045,2002,2174.5028,train,7,0.0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH01,17.5,0.097904029,Soft Drinks,174.8738,OUT046,1997,2085.2856,train,12,0.9222899199987084,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCX29,10.0,0.089291137,Health and Hygiene,146.7102,OUT049,1999,3791.0652,train,10,0.8760887635003264,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
FDV20,12.792854228644991,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,2797.6916,train,24,0.9544539631769144,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
DRZ11,8.85,0.113123893,Soft Drinks,122.5388,OUT018,2009,1609.9044,train,1,1.0031395349101433,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDX10,12.792854228644991,0.123111453,Snack Foods,36.9874,OUT027,1985,388.1614,train,24,1.0227997426879307,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
FDB34,12.792854228644991,0.026480954,Snack Foods,87.6198,OUT027,1985,2180.495,train,24,0.9251308290764402,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.102511504,Dairy,230.6352,OUT046,1997,3435.528,train,12,0.9222899150035627,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
FDK43,9.8,0.02681843,Meat,126.002,OUT013,1987,2150.534,train,22,0.9215224160526706,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA46,13.6,0.117818348,Snack Foods,192.9136,OUT049,1999,2527.3768,train,10,0.931077936469287,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
FDC02,21.35,0.069102831,Canned,259.9278,OUT018,2009,6768.5228,train,1,0.9334195377024117,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
FDL50,12.15,0.042277867,Canned,126.5046,OUT013,1987,373.5138,train,22,0.9980787902561442,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
FDM39,6.42,0.089498926,Dairy,178.1002,OUT010,1998,358.2004,train,11,1.4641166676603148,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NCP05,19.6,0.0,Health and Hygiene,153.3024,OUT045,2002,2428.8384,train,7,0.0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
FDV49,10.0,0.025879577,Canned,265.2226,OUT045,2002,5815.0972,train,7,0.9241603460120508,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDL12,15.85,0.121632721,Baking Goods,60.622,OUT046,1997,2576.646,train,12,0.8747287915078714,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS02,12.792854228644991,0.255394896,Dairy,196.8794,OUT019,1985,780.3176,train,24,2.03088772479079,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NCL17,7.39,0.067779712,Health and Hygiene,143.8812,OUT046,1997,3134.5864,train,12,0.8747287887220742,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
FDM40,10.195,0.159803853,Frozen Foods,141.5154,OUT013,1987,850.8924,train,22,1.0365304276483922,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
FDR13,9.895,0.028696932,Canned,117.0492,OUT013,1987,810.9444,train,22,0.8740008759338731,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA43,10.895,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,3121.2704,train,2,0.8796766099576357,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
NCP18,12.15,0.028760013,Household,151.4708,OUT017,2007,4815.0656,train,2,0.9275067647960545,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
FDK21,7.905,0.010053105,Snack Foods,249.0408,OUT018,2009,6258.52,train,1,0.9334195624341675,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
NCX54,9.195,0.048157338,Household,106.1622,OUT045,2002,2117.244,train,7,0.9315179298292239,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
DRK35,8.365,0.071958197,Hard Drinks,38.0506,OUT049,1999,796.9626,train,10,0.8760887617519185,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDY21,15.1,0.173481304,Snack Foods,194.511,OUT046,1997,4910.275,train,12,1.1416630232284468,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
FDI26,12.792854228644991,0.061082177,Canned,180.0344,OUT019,1985,892.172,train,24,1.61481058875214,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
FDM20,10.0,0.0,Fruits and Vegetables,246.9144,OUT018,2009,3185.1872,train,1,0.0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
FDV27,7.97,0.040071131,Meat,87.3514,OUT045,2002,1062.6168,train,7,0.8503936434710149,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDF09,12.792854228644991,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,484.7024,train,24,0.9251308536486637,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
FDY40,12.792854228644991,0.15028599,Frozen Foods,51.0692,OUT019,1985,147.8076,train,24,1.8569920498948196,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
FDY45,12.792854228644991,0.026015519,Snack Foods,255.8356,OUT027,1985,2543.356,train,24,1.165856256672693,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
FDC46,17.7,0.195068226,Snack Foods,185.4266,OUT010,1998,184.4266,train,11,1.5560143953260468,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FDH19,19.35,0.033082215,Meat,172.5738,OUT035,2004,4865.6664,train,5,0.9221155127052099,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
FDZ03,13.65,0.078946455,Dairy,186.024,OUT045,2002,1118.544,train,7,1.044138187445984,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH37,17.6,0.041700756,Soft Drinks,164.8526,OUT045,2002,2302.3364,train,7,0.8765027640696679,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
NCI17,8.645,0.143422643,Health and Hygiene,95.841,OUT046,1997,2027.361,train,12,1.0277767942566967,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
FDJ58,15.6,0.105296072,Snack Foods,170.1764,OUT046,1997,3435.528,train,12,0.8747287875118143,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
FDL12,15.85,0.121531501,Baking Goods,59.222,OUT013,1987,599.22,train,22,0.8740008619873568,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
FDH35,18.25,0.0,Starchy Foods,164.7526,OUT045,2002,4604.6728,train,7,0.0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDG02,7.855,0.011324862,Canned,189.6188,OUT017,2007,2285.0256,train,2,0.9275067286121007,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
NCZ18,7.825,0.186357148,Household,254.3698,OUT049,1999,5580.7356,train,10,1.029857103248895,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
FDC29,8.39,0.024205661,Frozen Foods,114.0176,OUT046,1997,2290.352,train,12,0.9990697616442725,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
FDQ10,12.85,0.033230816,Snack Foods,172.3422,OUT049,1999,1207.0954,train,10,0.9237238339071363,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
FDN48,12.792854228644991,0.113720344,Baking Goods,89.9804,OUT019,1985,643.1628,train,24,1.5315372016230429,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
FDL04,19.0,0.112556507,Frozen Foods,104.9622,OUT017,2007,1587.933,train,2,0.9275067671896533,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV25,5.905,0.0,Canned,222.5456,OUT045,2002,5305.0944,train,7,0.0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD58,7.76,0.059352241,Snack Foods,101.87,OUT046,1997,1697.79,train,12,0.8747287866525947,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN04,11.8,0.014087057,Frozen Foods,180.3344,OUT046,1997,1427.4752,train,12,1.1416114694007558,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
FDV45,16.75,0.045230944,Snack Foods,187.9556,OUT018,2009,4693.89,train,1,0.9260469457443702,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
NCL18,12.792854228644991,0.293417759,Household,194.6136,OUT019,1985,583.2408,train,24,1.6148105893820424,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
FDR12,12.792854228644991,0.031382044,Baking Goods,171.3764,OUT027,1985,3091.9752,train,24,0.8704928746102873,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
FDG20,15.5,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,2479.4392,train,2,0.9348909885210056,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ55,6.055,0.025403898,Fruits and Vegetables,160.992,OUT035,2004,2716.464,train,5,0.9988808402357966,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
FDQ49,12.792854228644991,0.039057677,Breakfast,155.963,OUT027,1985,3285.723,train,24,0.9541219242227013,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
FDN33,6.305,0.123115764,Snack Foods,95.6436,OUT046,1997,661.8052,train,12,0.9990697475981462,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN27,20.85,0.039624006,Meat,117.2808,OUT049,1999,1523.3504,train,10,1.163307491313076,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
FDW20,20.75,0.040421193,Fruits and Vegetables,122.173,OUT010,1998,369.519,train,11,1.7352530512933781,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DRG27,8.895,0.105274111,Dairy,39.9138,OUT049,1999,690.4346,train,10,1.0296708942872461,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRI25,19.6,0.033970195,Soft Drinks,55.1614,OUT045,2002,1381.535,train,7,0.9315179184271948,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDA44,19.7,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,622.523,train,5,0.9294568248579793,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
NCR17,9.8,0.024378706,Health and Hygiene,114.5492,OUT035,2004,1274.3412,train,5,0.9988808191929445,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
FDU04,12.792854228644991,0.009714595,Frozen Foods,120.0414,OUT019,1985,487.3656,train,24,2.03215612351227,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
FDF41,12.15,0.131383762,Frozen Foods,246.046,OUT049,1999,1231.73,train,10,0.8760887632599259,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
FDB56,8.75,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,3755.112,train,5,1.1406381675043848,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
NCP18,12.792854228644991,0.028459761,Household,149.9708,OUT027,1985,4363.6532,train,24,0.9178236759482314,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDB56,8.75,0.074627201,Fruits and Vegetables,187.8556,OUT046,1997,1314.2892,train,12,1.14085388763046,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
FDT28,13.3,0.063695084,Frozen Foods,151.0708,OUT045,2002,1805.6496,train,7,0.9241603474535889,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD10,12.792854228644991,0.045797829,Snack Foods,178.5344,OUT027,1985,2854.9504,train,24,1.031674956283392,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
FDW57,8.31,0.115857223,Snack Foods,179.1028,OUT049,1999,3896.2616,train,10,1.1434172322184792,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
DRB48,16.75,0.024832806,Soft Drinks,38.7822,OUT013,1987,667.7974,train,22,1.0358550701475786,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP09,19.75,0.034027909,Snack Foods,212.0902,OUT018,2009,3185.853,train,1,0.878292065399008,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
FDH14,17.1,0.0467696,Canned,141.1838,OUT013,1987,2247.7408,train,22,0.8740008565954394,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA47,10.5,0.116576702,Baking Goods,163.121,OUT013,1987,1794.331,train,22,1.0269770126654039,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
FDG12,6.635,0.0,Baking Goods,121.3098,OUT045,2002,2530.7058,train,7,0.0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
DRE60,12.792854228644991,0.278974075,Soft Drinks,225.372,OUT019,1985,679.116,train,24,1.6148105888188795,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
